headline,date,time,description,sentiment,sentiment_score
Friedrich Merz’s cabinet: Who will lead Germany’s key ministries?,"April 11, 2025",4:40 am CET,Here are the politicians most likely to occupy top posts in the next government.,neutral,0.9408625364303589
Italy approves draft law outlawing violence against women,"March 8, 2025",4:38 pm CET,,positive,0.47708791494369507
Germany’s economy is driving off a cliff. The car industry is behind the wheel.,"February 19, 2025",4:16 am CET,,negative,0.711748480796814
"Trump’s return is an ‘electroshock’ for Europe, says Macron","February 14, 2025",10:46 am CET,,neutral,0.5189045667648315
"Stocks tumble, dollar surges on Trump trade war","February 3, 2025",8:51 am CET,,negative,0.7937707901000977
ECB cuts rates again as stagnant eurozone  braces for Trump blast,"January 30, 2025",2:19 pm CET,,negative,0.8561931252479553
ECB set to cut rates as Europe eyes Trump tariffs,"January 29, 2025",4:30 am CET,,negative,0.7830147743225098
Spain’s plan to shorten the working week runs into trouble,"January 16, 2025",5:42 pm CET,It’s a clash between Labor Minister Yolanda Díaz and Economy Minister Carlos Cuerpo.,negative,0.9591368436813354
Relief for UK’s embattled finance minister as inflation falls — with caveats,"January 15, 2025",8:28 am CET,Better-than-expected figures come as Rachel Reeves faces intense scrutiny.,negative,0.46139058470726013
Rome warns its financial giants: Italy first!,"January 14, 2025",5:03 pm CET,Can Rome still rely on Generali and UniCredit in a crisis if they go ‘full European’?,neutral,0.8576940298080444
Echoes of Truss fiasco as UK markets reel from stagflation fears,"January 9, 2025",11:46 am CET,Borrowing costs hit 17-year highs and sterling falls as the budget and Donald Trump’s imminent return dent confidence.,negative,0.8217047452926636
Russia’s central bank stops raising interest rates as political opposition mounts,"December 20, 2024",4:54 pm CET,The central bank’s governor is going to rely on more subtle tools to stop runaway inflation next year.,negative,0.8621757626533508
BoE leaves key rate unchanged despite signs of slowdown,"December 19, 2024",1:06 pm CET,"“A gradual approach to removing monetary policy restraint remains appropriate,” the UK central bank said.",negative,0.45476233959198
How you gonna fix Germany?,"December 18, 2024",4:21 am CET,"Ahead of the Feb. 23 election, German parties have wildly different plans to repair the country’s sputtering economy.",neutral,0.900729775428772
Preparing countries for the job markets of 2050,"December 16, 2024",5:00 am CET,,neutral,0.8950361609458923
ECB cuts interest rates again as inflation eases and growth falters,"December 12, 2024",2:25 pm CET,"Frankfurt softens the hawkish bias that has colored its policy for the last three years, but it still sees policy as restrictive after a fourth cut this year.",negative,0.9557123184204102
Markets are rewarding Meloni for resisting French temptation,"December 6, 2024",8:02 pm CET,"Yields on debt for the two countries are converging, thanks to instability in Paris and a Rome government that has managed to divide the opposition.",positive,0.9152291417121887
Why markets and the EU aren’t panicking over France’s budget mess — yet,"December 5, 2024",7:59 pm CET,The financial storm Prime Minister Michel Barnier said would follow if he was toppled hasn’t materialized. Was he exaggerating or are markets simply being complacent?,neutral,0.5740789175033569
Ruble tumbles as Russia’s war economy comes under increasing strain,"November 27, 2024",6:23 pm CET,New sanctions package closes one of the last conduits of hard currency to Moscow.,negative,0.9613804817199707
France is approaching a moment of humiliation in financial markets as budget chaos mounts,"November 27, 2024",1:59 pm CET,Investors appear ready to declare the country a worse credit risk than Greece.,negative,0.9153369069099426
Germany’s industrial bloodbath leaves politicians fumbling for answers,"November 27, 2024",4:05 am CET,"As layoffs hit German auto and steel workers, unions are threatening large-scale strikes and politicians are scrambling.",negative,0.8659986257553101
VW plans to close 3 German plants as auto industry turmoil grows,"October 28, 2024",1:02 pm CET,The car giant’s move comes as Germany’s GDP is set to shrink for the second year in a row.,negative,0.9398177266120911
Germany’s economy goes from bad to worse,"October 9, 2024",5:44 pm CET,Economy Minister Robert Habeck confirms that GDP is set to contract for the second year in a row.,negative,0.6829080581665039
Cuba to Putin: Let us join BRICS club,"October 8, 2024",12:56 pm CET,Havana wants to become part of the growing team of emerging economies.,neutral,0.8927953839302063
Draghi to present EU competitiveness report to senior lawmakers next week,"August 30, 2024",1:08 pm CET,Ex-ECB chief will brief political groups of European Parliament before official launch in coming weeks.,neutral,0.9051930904388428
EU countries approve first €4.2B payment to Ukraine,"August 6, 2024",2:35 pm CET,"The money, part of a €50 billion bundle of grants and loans, will help Ukraine rebuild.",positive,0.8365752696990967
Report: Trump wouldn’t fire Fed’s Powell if reelected,"July 17, 2024",9:22 am CET,The presumptive GOP nominee’s remarks suggest that he may not go further than he did in his first term.,neutral,0.4896714687347412
European banks to provide over €600M in recovery funds for Ukraine,"June 11, 2024",9:05 pm CET,The deals were signed at this week’s Ukraine Recovery Conference in Berlin.,positive,0.7715554237365723
Dombrovskis nominated by Latvian government for third Commission term,"June 11, 2024",4:03 pm CET,Valdis Dombrovskis is rumored to have his sights on a role related to rebuilding Ukraine.,neutral,0.9030197262763977
‘It feels like there’s no future’: Georgia’s clash with West leaves ordinary people on brink,"June 1, 2024",5:42 am CET,The government’s crusade against European and American influence comes at the cost of one of the country’s only economic lifelines.,negative,0.7307407855987549
Britain’s fast-improving economy won’t save the Tories,"May 21, 2024",9:54 pm CET,"Inflation’s slowing, growth’s returning — but it’s not the economy any more, stupid, for struggling UK Conservatives.",negative,0.5830647349357605
Is the Bank of England really a secret political player?,"May 17, 2024",4:30 am CET,,neutral,0.8688734173774719
Brussels buzzwords of the week: Competitiveness and Bolshewokism,"April 19, 2024",4:10 am CET,,neutral,0.9185218811035156
"Make the single market ‘sexy,’ Italy’s ex-PM urges EU leaders","April 19, 2024",4:00 am CET,,neutral,0.5349751710891724
Tories pray for a miracle after a lackluster budget,"March 7, 2024",4:00 am CET,,negative,0.5304068922996521
Davos 2024: Trump’s Iowa win and the future of AI,"January 17, 2024",6:31 am CET,,neutral,0.9169840812683105
EU takes first step to raise money for Ukraine from Russian frozen assets,"December 12, 2023",5:58 pm CET,,positive,0.6685086488723755
Berlin used to be able to lay down the law on EU spending rules. Those days are gone.,"December 6, 2023",10:55 pm CET,Finance ministers hope to strike a deal on overhaul of national debt and deficit limits over dinner on Thursday night.,neutral,0.6263349056243896
Calviño’s EIB ‘coronation’ triggers claims of bad practice,"December 1, 2023",5:45 pm CET,The Spaniard’s rivals refuse to throw in the towel despite organizer of the process endorsing her.,negative,0.8991435170173645
Polish opposition threatens to go after central bank chief over inflation,"September 10, 2023",4:17 pm CET,"Civic Platform vows to hold Adam Glapiński accountable for ‘destroying the independence’ of the central bank, if it wins October’s election.",negative,0.8931940793991089
Boosting SME digital skills is key for UK economic growth,"July 3, 2023",5:00 am CET,"Small businesses lag behind big firms on basic digital skills, and minority- and female-owned businesses face even bigger challenges. Programs such as Mastercard’s Strive UK aim to change this.",positive,0.8846101760864258
The end of Erdoğanomics? Turkey almost doubles interest rates to fight inflation,"June 22, 2023",1:25 pm CET,"The apparent U-turn is being entrusted to mainstream financial experts, while Erdoğan himself still insists interest rates should remain low.",neutral,0.5564018487930298
