headline,url,description,date,sentiment,sentiment_score
"Gozo’s economic growth must continue to result in common good and identity preservation, PM says",https://maltabusinessweekly.com/gozos-economic-growth-must-continue-to-result-in-common-good-and-identity-preservation-pm-says/27972/,"Prime Minister Robert Abela said that Gozo is an example of how economic growth must continue resulting in the common good, and the preservation of Maltese identity, speaking at the 25th anniversary of the Gozo Chamber of Commerce. During a celebration marking the 25th anniversary of the...",2025-01-11T08:39:39+00:00,positive,0.7338708639144897
€1.6 billion to be invested in pensions and social benefits throughout 2025,https://maltabusinessweekly.com/e1-6-billion-to-be-invested-in-pensions-and-social-benefits-throughout-2025/27977/,"€1.6 billion is set to be spent on pensions and social benefits throughout the calendar year of 2025, the government said. The Ministry for Social Policy said this mark will set ""an all-time record."" Social Policy Minister Michael Falzon announced this information during a press conference in...",2025-01-10T16:45:00+00:00,neutral,0.5131418108940125
Italy approves permit for the development of Malta-Sicily second interconnector,https://maltabusinessweekly.com/italy-approves-permit-for-the-development-of-malta-sicily-second-interconnector/27962/,"Italy's Environment Ministry has given its last and final approval to Malta to develop the second interconnector between Malta and Sicily, Environment and Energy Minister Miriam Dalli said. In a press conference on Friday, Dalli said that the official permission was given by the Italian Ministry...",2025-01-10T12:02:31+00:00,neutral,0.5931851267814636
"Inflation, environment main concerns for Maltese citizens – Eurobarometer",https://maltabusinessweekly.com/inflation-environment-main-concerns-for-maltese-citizens-eurobarometer/27929/,"Inflation and the environment are the major concerns for Maltese citizens according to the latest Eurobarometer survey, published Thursday by the the European Commission Representation in Malta. The national report outlines the main findings of the fieldwork conducted between 10 and 30 October...",2024-12-19T14:51:34+00:00,neutral,0.9277717471122742
"How the stock market defied expectations again this year, by the numbers",https://maltabusinessweekly.com/how-the-stock-market-defied-expectations-again-this-year-by-the-numbers/27936/,"What a wonderful year 2024 has been for investors. U.S. stocks ripped higher and carried the S&P 500 to records as the economy kept growing and the Federal Reserve began cutting interest rates. The year featured many familiar winners, such as Big Tech, which got even bigger as their stock prices...",2024-12-26T19:30:56+00:00,positive,0.8022410869598389
First additional COLA payment for 2025 to be handed out this weekend,https://maltabusinessweekly.com/first-additional-cola-payment-for-2025-to-be-handed-out-this-weekend/27927/,"The Ministry for Social Policy has announced that the first of two additional cost-of-living adjustment (COLA) payments for 2025 will be paid over this coming weekend. The Minister for Social Policy, Michael Falzon, stated in a press conference on Wednesday morning that this week, over 97,000...",2024-12-18T20:02:00+00:00,positive,0.4608798623085022
Excellence unleashed at BOV with 120 plus employees graduating,https://maltabusinessweekly.com/excellence-unleashed-at-bov-with-120-plus-employees-graduating/27912/,"Bank of Valletta celebrated the achievements of over 120 employees at the 2024 Graduation Ceremony held on Friday, 22nd November at the Phoenicia Hotel. The event highlighted the Bank’s commitment to its people, showcasing its role as an employer of choice through cutting-edge learning programs...",2024-12-16T14:32:27+00:00,positive,0.8949216604232788
CBM’s Forecast 2024-2027: Economic growth revised upwards,https://maltabusinessweekly.com/cbms-forecast-2024-2027-economic-growth-revised-upwards/27907/,"According to the Bank’s latest forecasts, Malta’s gross domestic product (GDP) is expected to grow by 4.9% in 2024. Growth is then projected to ease to 3.9% in 2025, 3.6% in 2026 and 3.4% in 2027. This implies an upward revision for each year up to 2026 when compared to the Bank’s previous...",2024-12-16T08:44:52+00:00,positive,0.8494307994842529
Emirates officially unveils its first A350 aircraft,https://maltabusinessweekly.com/emirates-officially-unveils-its-first-a350-aircraft/27722/,"Emirates has officially unveiled the very first Airbus A350-900 to join its fleet at an exclusive event showcase in Dubai. The event, led by Sir Tim Clark, President Emirates Airline in the presence of His Excellency Abdulla Bin Touq Al Marri, UAE Minister of Economy, was attended by VIP guests...",2024-11-27T10:21:22+00:00,positive,0.7853745222091675
Emirates Group reports record half-year results for 2024-25,https://maltabusinessweekly.com/emirates-group-reports-record-half-year-results-for-2024-25/27650/,"The Emirates Group today announced its best-ever half-year financial performance, posting a profit before tax of AED 10.4 billion (US$ 2.8 billion) for the first six months of 2024-25, surpassing its record profit before tax for the same period last year. This is the first financial year that...",2024-11-20T09:34:37+00:00,positive,0.9492734670639038
