headline,date,description
Atlas Insurance and SOS Malta launch VR education initiative in Maltese schools,"Tuesday, 4 March 2025, 12:26",Atlas Insurance and SOS Malta inaugurated their three-year initiative to integrate virtual reality (VR) technology into the curricula of two independent schools and one church school. This project...
MDB hosts 20 European institutions to discuss the challenges of digital financing,"Tuesday, 4 March 2025, 12:21","The Malta Development Bank (MDB), in collaboration with the European Association of Guarantee Institutions (AECM), hosted a high-level technical workshop on digital financing, bringing together 20..."
BOV encourages smarter money management with cash migration incentive,"Tuesday, 4 March 2025, 11:29","Bank of Valletta is launching a Cash Migration Incentive as part of its commitment to financial literacy and responsible banking. This initiative, running from 1st March to 30th June 2025, aims to..."
Maltese Payroll Software Company Buddy kicks off Payroll Growth Summit today,"Tuesday, 4 March 2025, 09:21","Maltese technology leader Buddy is proud to announce the Payroll Growth Summit, a free, virtual event designed to equip payroll professionals with actionable insights in compliance, technology, and..."
HSBC Malta Foundation supports K-9 Urban Search and Rescue Malta,"Tuesday, 4 March 2025, 09:16","HSBC Malta Foundation is proud to support K-9 Urban Search and Rescue Malta (K-9 USAR Malta), a dedicated non-profit organisation committed to training highly specialised search and rescue dogs for..."
New shores beckon for Boston Multi Family Office on completion of acquisition of Aqua Group,"Tuesday, 4 March 2025, 09:15","Isle of Man-headquartered Boston Multi Family Office is pleased to announce the completion of its acquisition of Aqua Group, a leading family office and fiduciary business based in Jersey, Malta and..."
Trump economics: Inflation trends and pressures on European commerce,"Sunday, 2 March 2025, 08:00","Following President Trump's election, many predict that inflation will remain a concern, particularly in service prices. The situation in the US economy is buoyant yet overall inflation in the..."
Fundación MAPFRE supports P.O.P – Up' project in collaboration with MFWS,"Friday, 28 February 2025, 14:15","Fundación MAPFRE is proud to announce its support for the ""Promoting Online Protection Project"" (P.O.P - Up Project) in collaboration with The Malta Foundation for the Wellbeing of Society..."
Independent research recognises Melita as a leading employer in Malta,"Thursday, 27 February 2025, 13:56","Independent Employee Survey conducted by HR systems provider Talexio has highlighted high levels of job satisfaction among Melita Limited employees, positioning the company as one of the best..."
Matrixyl Peptide: Exploring its multifaceted potential in scientific research,"Wednesday, 2 October 2024, 10:23","Matrixyl, a synthetic peptide, has garnered significant interest in various scientific domains due to its potential impact on cellular processes related to extracellular matrix (ECM) modulation,..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
MFSA warns financial institutions to improve their methods for protecting clients’ funds,"Wednesday, 26 February 2025, 16:24","Financial Institutions, such as payment institutions and electronic money institutions, are legally obliged to protect the funds entrusted to them by their clients, the Malta Financial Services..."
TradeMalta showcases Malta’s culinary excellence at Gulfood 2025,"Wednesday, 26 February 2025, 15:58","Carmen Walls, senior manager TradeMalta (centre) together with Maltese exhibitors in front of the Malta Pavilion at Gulfood 2025 at the Dubai Trade Centre..."
MBB backs EU Clean Industrial Deal but calls for stronger support for islands,"Wednesday, 26 February 2025, 15:29","The Malta Business Bureau (MBB) today expressed its support for the European Commission's Clean Industrial Deal (CID), recognising its potential to balance decarbonisation goals and economic..."
A collaborative webinar by the CBM and the Gozo Regional Development Authority,"Wednesday, 26 February 2025, 15:28","The Central Bank of Malta, in collaboration with the Gozo Regional Development Authority, hosted a webinar on ""Household Wealth: A Regional Analysis for Gozo"" on 26 February 2024. This event..."
BOV Tap & Win Card promotion returns for Carnival weekend,"Wednesday, 26 February 2025, 15:26","Bank of Valletta is relaunching the popular Tap & Win Card Campaign, just in time for the Carnival weekend. As thousands of Maltese head over to Gozo to celebrate carnival, BOV cardholders who pay..."
For Impact Event and Fair returns in March for its fourth edition,"Wednesday, 26 February 2025, 10:16",The Academy of Givers is excited to announce the fourth edition of the For Impact Event and Fair that will take place on the 25th of March at Corinthia St George's Bay. The event provides businesses...
Bank of Valletta highlights innovation journey at European Digital Finance Conference 2025,"Tuesday, 25 February 2025, 21:12","Bank of Valletta participated in the European Digital Finance Conference 2025, where Ivo Camilleri, Chief Strategy, Transformation and Data Officer, shared insights on fostering innovation within the..."
HSBC Life Malta maintains strong commitment to policyholders with 95% claims payout ratio for third,"Tuesday, 25 February 2025, 10:40","HSBC Life Malta is pleased to report that in 2024, for the third consecutive year, it once again exceeded a 95% claims payout ratio. A claim payout ratio is the percentage of claims paid to customers..."
Eunoia CEO Stefan Farrugia wins EY Rising Star Entrepreneur of the Year Award,"Tuesday, 25 February 2025, 10:16","Eunoia, a leading data and AI solutions company is proud to announce that its CEO, Stefan Farrugia, has been awarded the prestigious EY Rising Star Entrepreneur of the Year award. This recognition..."
‘Aircrafted KIDS’ spreads smiles across Africa,"Tuesday, 25 February 2025, 10:15","Supporting children's education and making meaningful connections within the communities it serves, Emirates has engaged with 6 entities across Africa to provide more than 1,300 handmade schoolbags..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
APS Bank is recognised for elevating customer satisfaction with real-time feedback,"Tuesday, 25 February 2025, 10:13","APS Bank has been recently recognised by HappyOrNot for successfully increasing its customer satisfaction score by 3 points, rising from 89 to 92 on the Happy Index, through the implementation of..."
