headline,date,time,description
Friedrich Merz’s cabinet: Who will lead Germany’s key ministries?,"April 11, 2025",4:40 am CET,Here are the politicians most likely to occupy top posts in the next government.
Italy approves draft law outlawing violence against women,"March 8, 2025",4:38 pm CET,
Germany’s economy is driving off a cliff. The car industry is behind the wheel.,"February 19, 2025",4:16 am CET,
"Trump’s return is an ‘electroshock’ for Europe, says Macron","February 14, 2025",10:46 am CET,
"Stocks tumble, dollar surges on Trump trade war","February 3, 2025",8:51 am CET,
ECB cuts rates again as stagnant eurozone  braces for Trump blast,"January 30, 2025",2:19 pm CET,
ECB set to cut rates as Europe eyes Trump tariffs,"January 29, 2025",4:30 am CET,
Spain’s plan to shorten the working week runs into trouble,"January 16, 2025",5:42 pm CET,It’s a clash between Labor Minister Yolanda Díaz and Economy Minister Carlos Cuerpo.
Relief for UK’s embattled finance minister as inflation falls — with caveats,"January 15, 2025",8:28 am CET,Better-than-expected figures come as Rachel Reeves faces intense scrutiny.
Rome warns its financial giants: Italy first!,"January 14, 2025",5:03 pm CET,Can Rome still rely on Generali and UniCredit in a crisis if they go ‘full European’?
Echoes of Truss fiasco as UK markets reel from stagflation fears,"January 9, 2025",11:46 am CET,Borrowing costs hit 17-year highs and sterling falls as the budget and Donald Trump’s imminent return dent confidence.
Russia’s central bank stops raising interest rates as political opposition mounts,"December 20, 2024",4:54 pm CET,The central bank’s governor is going to rely on more subtle tools to stop runaway inflation next year.
BoE leaves key rate unchanged despite signs of slowdown,"December 19, 2024",1:06 pm CET,"“A gradual approach to removing monetary policy restraint remains appropriate,” the UK central bank said."
How you gonna fix Germany?,"December 18, 2024",4:21 am CET,"Ahead of the Feb. 23 election, German parties have wildly different plans to repair the country’s sputtering economy."
Preparing countries for the job markets of 2050,"December 16, 2024",5:00 am CET,
ECB cuts interest rates again as inflation eases and growth falters,"December 12, 2024",2:25 pm CET,"Frankfurt softens the hawkish bias that has colored its policy for the last three years, but it still sees policy as restrictive after a fourth cut this year."
Markets are rewarding Meloni for resisting French temptation,"December 6, 2024",8:02 pm CET,"Yields on debt for the two countries are converging, thanks to instability in Paris and a Rome government that has managed to divide the opposition."
Why markets and the EU aren’t panicking over France’s budget mess — yet,"December 5, 2024",7:59 pm CET,The financial storm Prime Minister Michel Barnier said would follow if he was toppled hasn’t materialized. Was he exaggerating or are markets simply being complacent?
Ruble tumbles as Russia’s war economy comes under increasing strain,"November 27, 2024",6:23 pm CET,New sanctions package closes one of the last conduits of hard currency to Moscow.
France is approaching a moment of humiliation in financial markets as budget chaos mounts,"November 27, 2024",1:59 pm CET,Investors appear ready to declare the country a worse credit risk than Greece.
Germany’s industrial bloodbath leaves politicians fumbling for answers,"November 27, 2024",4:05 am CET,"As layoffs hit German auto and steel workers, unions are threatening large-scale strikes and politicians are scrambling."
VW plans to close 3 German plants as auto industry turmoil grows,"October 28, 2024",1:02 pm CET,The car giant’s move comes as Germany’s GDP is set to shrink for the second year in a row.
Germany’s economy goes from bad to worse,"October 9, 2024",5:44 pm CET,Economy Minister Robert Habeck confirms that GDP is set to contract for the second year in a row.
Cuba to Putin: Let us join BRICS club,"October 8, 2024",12:56 pm CET,Havana wants to become part of the growing team of emerging economies.
