iter	RMSE
0	0.6351549479
1	0.6302539565
2	0.6256709411
3	0.6194744077
4	0.6150747664
5	0.6105914923
6	0.6052941995
7	0.6018230025
8	0.596203726
9	0.593005619
10	0.5894127327
11	0.5856921066
12	0.5822602298
13	0.5794103699
14	0.5756049699
15	0.5713140253
16	0.5678305281
17	0.5644997267
18	0.5613500707
19	0.5576625917
20	0.5545264343
21	0.5504934082
22	0.5463270332
23	0.5428221488
24	0.5395136662
25	0.5366865037
26	0.5338765703
27	0.5314674194
28	0.5279852749
29	0.5249362978
30	0.5222709194
31	0.5193166934
32	0.5165007817
33	0.5135783466
34	0.510499682
35	0.5083434747
36	0.5053897405
37	0.5031180851
38	0.5010172499
39	0.4996273706
40	0.4984192939
41	0.4965878107
42	0.4947261746
43	0.4919080263
44	0.4894850167
45	0.4873332154
46	0.4852503419
47	0.4826212507
48	0.4818644901
49	0.479931851
50	0.4782385093
51	0.4775200929
52	0.4747056728
53	0.4725874862
54	0.4704941014
55	0.4689010739
56	0.4678884538
57	0.4671205647
58	0.4653332168
59	0.4638014738
60	0.462005474
61	0.4597643736
62	0.4573444757
63	0.4567095595
64	0.4558828639
65	0.4537074897
66	0.4519775052
67	0.4513695142
68	0.4495712563
69	0.4476534378
70	0.4471117277
71	0.4462571783
72	0.4450332351
73	0.4439474061
74	0.4421736941
75	0.4402000004
76	0.4389646562
77	0.437234732
78	0.4353621442
79	0.4344025565
80	0.4326130628
81	0.4320435222
82	0.4307141469
83	0.4290253626
84	0.4273482729
85	0.4269209621
86	0.4254426312
87	0.4242932467
88	0.4229909148
89	0.4218910483
90	0.4201193895
91	0.4197053523
92	0.4188337274
93	0.4176926187
94	0.417407872
95	0.4167510268
96	0.415293625
97	0.41434901
98	0.4138232464
99	0.412433857
100	0.4121018968
101	0.4105723852
102	0.4101603767
103	0.4092705936
104	0.4083669654
105	0.4070643015
106	0.4059479196
107	0.4051741779
108	0.4047910476
109	0.4033464358
110	0.4023946492
111	0.4015719231
112	0.4006307328
113	0.3992699534
114	0.3981287837
115	0.3974574488
116	0.3962559017
117	0.3951131262
118	0.3945396787
119	0.3932234703
120	0.3916936158
121	0.3913211038
122	0.3904627788
123	0.3901240142
124	0.3897981934
125	0.3888569004
126	0.387748414
127	0.3865277037
128	0.3853044165
129	0.3839296123
130	0.3830191654
131	0.3823426015
132	0.3818340931
133	0.380853849
134	0.3804794877
135	0.3799339204
136	0.3795324043
137	0.3787572643
138	0.3783961904
139	0.3765654033
140	0.3757667289
141	0.3754683439
142	0.3742784664
143	0.3726062999
144	0.3716243441
145	0.3710643304
146	0.3705934423
147	0.369719316
148	0.3685030143
149	0.3676943862
150	0.3671237485
151	0.3663119396
152	0.3658301198
153	0.364762205
154	0.3636772365
155	0.3630048068
156	0.3624355504
157	0.3617549763
158	0.3610197652
159	0.3604610388
160	0.3596840364
161	0.3589581265
162	0.3585928639
163	0.3579912122
164	0.3578891031
165	0.3577003259
166	0.3576081159
167	0.3573952964
168	0.3570490299
169	0.3567961943
170	0.3562922029
171	0.3556899122
172	0.3551956182
173	0.3550966684
174	0.3538821266
175	0.3529167741
176	0.3519498077
177	0.3511481292
178	0.3508982886
179	0.3495841041
180	0.3492985783
181	0.3489797864
182	0.3482841858
183	0.3478254966
184	0.3475670188
185	0.3465133647
186	0.3462357702
187	0.3455978995
188	0.3450183974
189	0.34413603
190	0.3430144618
191	0.3421177375
192	0.3417512952
193	0.3409727987
194	0.3408096069
195	0.3406417342
196	0.3397488397
197	0.3395108123
198	0.3391341077
199	0.3387016732
200	0.3383727284
201	0.3369812592
202	0.3365969178
203	0.3362817547
204	0.3360350663
205	0.3348022926
206	0.3345846656
207	0.3344442185
208	0.3337350847
209	0.3334444312
210	0.3330748604
211	0.3317366338
212	0.3313198411
213	0.3304245969
214	0.330162799
215	0.3296894759
216	0.3283810227
217	0.3281289506
218	0.3278831329
219	0.3276492908
220	0.3272118725
221	0.3267906124
222	0.3257779438
223	0.3250909177
224	0.3248494785
225	0.3246839677
226	0.3237122266
227	0.3227880798
228	0.3224603266
229	0.3221189066
230	0.3219568317
231	0.3217442107
232	0.3215079446
233	0.3211874592
234	0.3204737589
235	0.3201574638
236	0.3194981195
237	0.3193213537
238	0.3190786021
239	0.3182194673
240	0.3179607324
241	0.3177613031
242	0.3173558681
243	0.3169153362
244	0.3166725833
245	0.3164904228
246	0.3156788335
247	0.3144486739
248	0.3141808635
249	0.3131230402
250	0.3128672973
251	0.3117776287
252	0.311595262
253	0.310474471
254	0.3102168516
255	0.3092192157
256	0.3089917888
257	0.3087956888
258	0.3079012993
259	0.30765778
260	0.3067416136
261	0.3057335154
262	0.3055026714
263	0.3053284867
264	0.3039689245
265	0.3037689099
266	0.3028317406
267	0.3026127061
268	0.302348317
269	0.3011541814
270	0.3003200036
271	0.2993141554
272	0.2985284269
273	0.2976422384
274	0.297448644
275	0.2972096939
276	0.2970783949
277	0.2969155
278	0.2960954528
279	0.2959046456
280	0.2952829804
281	0.2951486735
282	0.2946537983
283	0.2938271055
284	0.2935882615
285	0.2933907409
286	0.2925900397
287	0.2923771651
288	0.2916859226
289	0.2914884097
290	0.2913317293
291	0.2911849199
292	0.2910375084
293	0.2909079594
294	0.2907440334
295	0.2905539203
296	0.2904231848
297	0.2895211993
298	0.2893337439
299	0.2885424721
300	0.2883494952
301	0.2873603519
302	0.2872425657
303	0.2860164334
304	0.2852237842
305	0.2840873433
306	0.283946899
307	0.2830569476
308	0.2828850776
309	0.2819399467
310	0.2809244414
311	0.2797327618
312	0.2790194073
313	0.2783991909
314	0.278240685
315	0.2781210452
316	0.2770406058
317	0.2764919563
318	0.2756317075
319	0.2754959311
320	0.2749384462
321	0.2743755912
322	0.2742641558
323	0.2730481706
324	0.2725232614
325	0.2718592022
326	0.2713356218
327	0.270975384
328	0.2708618654
329	0.2704625147
330	0.2703685152
331	0.2702768219
332	0.2693548263
333	0.2684530728
334	0.2679935127
335	0.2671775293
336	0.267059298
337	0.2667572153
338	0.2663868404
339	0.2657822056
340	0.2650538849
341	0.2644095676
342	0.2640484057
343	0.2639642489
344	0.2638349633
345	0.2637480764
346	0.2632521207
347	0.2625585921
348	0.2619359078
349	0.260859916
350	0.2599493634
351	0.2598642338
352	0.2591191138
353	0.2583540829
354	0.2576908162
355	0.2575719642
356	0.2568751697
357	0.2560114307
358	0.2555916176
359	0.2551002677
360	0.2545783689
361	0.2536182704
362	0.2529180012
363	0.2519467752
364	0.251550163
365	0.2512223626
366	0.250769751
367	0.2506434813
368	0.2500357948
369	0.2494614131
370	0.2485435659
371	0.248386902
372	0.2481729341
373	0.2480171552
374	0.2473712688
375	0.2465198706
376	0.2455089543
377	0.2446759105
378	0.2442054316
379	0.2436456235
380	0.2429678617
381	0.2419787032
382	0.2418926249
383	0.2412208353
384	0.2404989652
385	0.2396685664
386	0.2393243454
387	0.2386203827
388	0.2382735884
389	0.2381899232
390	0.2372106432
391	0.2366547204
392	0.2362647253
393	0.2360177712
394	0.2357511174
395	0.2356836021
396	0.2350386274
397	0.234724871
398	0.2341602874
399	0.2333047331
400	0.2328579635
401	0.2323738012
402	0.2316472958
403	0.2313549777
404	0.2311775537
405	0.2308034129
406	0.2302691835
407	0.2294401188
408	0.2287600374
409	0.2282167528
410	0.2276936761
411	0.2272787341
412	0.2267850483
413	0.2261663931
414	0.2256180772
415	0.2255542846
416	0.2250648699
417	0.2243395684
418	0.2240042103
419	0.2234788565
420	0.2226544248
421	0.2222713995
422	0.2218932355
423	0.2213250102
424	0.2211185199
425	0.220375566
426	0.2198302899
427	0.2193292929
428	0.2186356656
429	0.2180179111
430	0.2177623726
431	0.2173640362
432	0.2170052448
433	0.2165598903
434	0.216349994
435	0.2158310287
436	0.2151333267
437	0.2147356394
438	0.2145787234
439	0.2139955424
440	0.2137177305
441	0.213660804
442	0.213481951
443	0.2132415087
444	0.2129295896
445	0.2124528071
446	0.2119784399
447	0.2115829269
448	0.2109284831
449	0.2103989619
450	0.2103229592
451	0.2098288192
452	0.2097467832
453	0.2092481856
454	0.2089576136
455	0.2085097717
456	0.2081080843
457	0.2075399561
458	0.2069863683
459	0.2066683706
460	0.2061927515
461	0.2058623401
462	0.2058123204
463	0.2054703264
464	0.2048285541
465	0.2045149096
466	0.2039338871
467	0.2036749185
468	0.2034622596
469	0.2032058939
470	0.2026910641
471	0.2026306192
472	0.2020458332
473	0.2017999037
474	0.2016002929
475	0.2010379919
476	0.2005319481
477	0.2001619212
478	0.1998300794
479	0.1993779466
480	0.1989338001
481	0.198559081
482	0.1980282088
483	0.1978592241
484	0.1976841111
485	0.1973793362
486	0.1970526561
487	0.1966387458
488	0.1961289719
489	0.1955290524
490	0.1949931502
491	0.1946577283
492	0.19430993
493	0.1940663436
494	0.1935805792
495	0.1931825781
496	0.1928456082
497	0.1927642315
498	0.1922426859
499	0.1919055699
500	0.1914021427
501	0.1909380752
502	0.1906596
503	0.1901859529
504	0.1897372161
505	0.1893789426
506	0.1891214725
507	0.1888765393
508	0.1884227806
509	0.1882408527
510	0.1879621772
511	0.1875315116
512	0.1871133716
513	0.1869497946
514	0.1864396056
515	0.1859433873
516	0.1856857238
517	0.1854185127
518	0.1850750715
519	0.1847922648
520	0.1847459637
521	0.1842534328
522	0.1838720429
523	0.1832577705
524	0.1828885138
525	0.1823959094
526	0.1818988986
527	0.1814826836
528	0.1814411659
529	0.1812718384
530	0.1811015588
531	0.1810589541
532	0.180755931
533	0.1804057539
534	0.1801248939
535	0.1798608944
536	0.1797737541
537	0.1795779558
538	0.1791175154
539	0.1790733779
540	0.1789701569
541	0.1789329414
542	0.178698458
543	0.1786480192
544	0.1784309367
545	0.178045435
546	0.1777284665
547	0.1772422209
548	0.1770767385
549	0.1770259529
550	0.1766160812
551	0.1761523908
552	0.1759133754
553	0.1755856598
554	0.1754479175
555	0.1754018734
556	0.1753523744
557	0.1748468909
558	0.1747136842
559	0.1744521315
560	0.1740124863
561	0.1736675231
562	0.1734757257
563	0.1729762376
564	0.1728802959
565	0.172400765
566	0.1721476273
567	0.1717440928
568	0.1714208039
569	0.1713328288
570	0.1710652389
571	0.1706357801
572	0.1701682924
573	0.16980581
574	0.1696132146
575	0.1695761091
