iter	Passed	Remaining
0	17	17729
1	34	17346
2	55	18308
3	76	19035
4	96	19247
5	116	19377
6	137	19488
7	158	19688
8	179	19759
9	199	19782
10	219	19779
11	241	19843
12	261	19862
13	282	19909
14	302	19852
15	321	19772
16	340	19675
17	358	19557
18	377	19474
19	396	19412
20	414	19314
21	431	19194
22	449	19107
23	467	19014
24	485	18953
25	503	18861
26	521	18793
27	539	18716
28	556	18644
29	577	18660
30	595	18619
31	613	18559
32	631	18491
33	648	18439
34	667	18400
35	685	18351
36	703	18322
37	721	18273
38	739	18218
39	756	18166
40	774	18122
41	793	18091
42	810	18045
43	828	18003
44	846	17957
45	863	17911
46	881	17876
47	899	17835
48	917	17808
49	935	17777
50	953	17739
51	962	17550
52	981	17535
53	1001	17542
54	1020	17541
55	1039	17519
56	1056	17483
57	1063	17274
58	1081	17252
59	1098	17216
60	1116	17191
61	1131	17113
62	1145	17035
63	1151	16844
64	1165	16758
65	1185	16777
66	1205	16785
67	1215	16657
68	1236	16690
69	1265	16819
70	1290	16888
71	1309	16877
72	1356	17221
73	1381	17293
74	1399	17265
75	1418	17246
76	1436	17224
77	1449	17131
78	1469	17130
79	1490	17136
80	1505	17076
81	1523	17050
82	1532	16927
83	1550	16908
84	1568	16887
85	1575	16740
86	1593	16727
87	1609	16679
88	1627	16662
89	1646	16647
90	1665	16635
91	1683	16616
92	1702	16600
93	1720	16580
94	1730	16485
95	1750	16481
96	1769	16472
97	1787	16452
98	1806	16442
99	1825	16427
100	1839	16376
101	1858	16360
102	1874	16323
103	1892	16304
104	1911	16290
105	1929	16277
106	1948	16259
107	1967	16247
108	1973	16133
109	1992	16122
110	2010	16104
111	2028	16083
112	2045	16060
113	2064	16044
114	2083	16030
115	2101	16012
116	2119	15993
117	2137	15973
118	2154	15951
119	2172	15934
120	2191	15923
121	2209	15904
122	2229	15897
123	2252	15911
124	2258	15812
125	2280	15821
126	2301	15818
127	2320	15808
128	2340	15802
129	2361	15800
130	2380	15790
131	2401	15790
132	2420	15779
133	2439	15767
134	2468	15813
135	2496	15861
136	2516	15851
137	2535	15838
138	2554	15825
139	2574	15816
140	2593	15803
141	2613	15789
142	2631	15772
143	2650	15756
144	2669	15741
145	2688	15728
146	2708	15718
147	2728	15706
148	2748	15695
149	2767	15680
150	2787	15670
151	2806	15654
152	2825	15644
153	2844	15626
154	2863	15612
155	2882	15597
156	2901	15579
157	2919	15560
158	2939	15546
159	2958	15529
160	2975	15507
161	2994	15488
162	3011	15464
163	3030	15445
164	3036	15364
165	3053	15341
166	3059	15261
167	3065	15180
168	3082	15157
169	3102	15145
170	3119	15124
171	3137	15101
172	3154	15081
173	3161	15006
174	3183	15010
175	3206	15014
176	3226	15003
177	3246	14993
178	3270	14999
179	3291	14995
180	3311	14985
181	3334	14986
182	3355	14979
183	3375	14970
184	3393	14947
185	3412	14933
186	3431	14918
187	3451	14905
188	3469	14886
189	3487	14868
190	3506	14850
191	3524	14831
192	3543	14815
193	3563	14807
194	3576	14764
195	3585	14709
196	3605	14697
197	3625	14686
198	3644	14668
199	3663	14654
200	3681	14635
201	3700	14617
202	3718	14598
203	3737	14582
204	3756	14567
205	3776	14556
206	3787	14507
207	3793	14445
208	3812	14430
209	3833	14419
210	3852	14405
211	3873	14396
212	3892	14382
213	3912	14369
214	3931	14353
215	3949	14336
216	3969	14321
217	3985	14296
218	4002	14272
219	4021	14258
220	4043	14251
221	4063	14241
222	4085	14236
223	4107	14229
224	4130	14226
225	4142	14188
226	4162	14176
227	4183	14163
228	4202	14148
229	4222	14137
230	4242	14122
231	4255	14085
232	4274	14071
