date,majority_sentiment,average_sentiment
2019-02-26,0,0.8242666721343994
2019-02-27,2,0.8820533752441406
2019-02-28,2,0.9476797580718994
2019-03-01,1,0.9725885987281799
2019-03-04,2,0.9365792870521545
2019-03-05,1,0.9303371906280518
2019-03-06,2,0.7823618650436401
2019-03-07,0,0.8440748953819275
2019-03-08,0,0.8103344440460205
2019-03-09,0,0.8830162882804871
2019-03-12,2,0.7456238567829132
2019-03-13,2,0.8920347094535828
2019-03-14,2,0.7444545115743365
2019-03-15,0,0.9039268891016642
2019-03-18,2,0.9354069828987122
2019-03-20,2,0.7744921147823334
2019-03-21,2,0.7863898641533322
2019-03-22,1,0.969592273235321
2019-03-25,1,0.9703398942947388
2019-03-26,2,0.787778377532959
2019-03-27,0,0.9190108776092529
2019-03-28,2,0.8499564064873589
2019-03-29,2,0.945551872253418
2019-04-01,2,0.8807103633880615
2019-04-02,2,0.9501689076423645
2019-04-03,1,0.9662073254585266
2019-04-04,2,0.8582100187029157
2019-04-05,0,0.8698302805423737
2019-04-08,2,0.5755703449249268
2019-04-09,1,0.941443920135498
2019-04-10,1,0.8728289206822714
2019-04-11,2,0.6959926187992096
2019-04-12,2,0.941327691078186
2019-04-15,2,0.8855915069580078
2019-04-16,1,0.97358238697052
2019-04-17,2,0.9323402345180511
2019-04-18,1,0.8359338939189911
2019-04-23,2,0.7096986472606659
2019-04-24,2,0.9406370520591736
2019-04-25,2,0.9430167078971863
2019-04-26,1,0.7997276484966278
2019-04-29,2,0.9477291107177734
2019-04-30,2,0.7675803502400717
2019-05-02,0,0.7841328219933943
2019-05-03,1,0.9704956412315369
2019-05-06,2,0.7120897173881531
2019-05-07,0,0.8113996505737304
2019-05-08,0,0.9305697679519653
2019-05-09,2,0.7522105984389782
2019-05-10,1,0.9256097972393036
2019-05-13,2,0.8419872522354126
2019-05-15,2,0.9544611275196075
2019-05-16,2,0.7917294104894003
2019-05-17,0,0.8691412806510925
2019-05-19,0,0.9049625396728516
2019-05-20,1,0.9644874930381775
2019-05-21,1,0.9647951126098633
2019-05-22,2,0.9494367837905884
2019-05-23,2,0.7975662112236023
2019-05-24,0,0.5134866833686829
2019-05-27,0,0.846532940864563
2019-05-28,2,0.9244002401828766
2019-05-29,0,0.8984393775463104
2019-05-30,0,0.7854221525945162
2019-05-31,1,0.5934290289878845
2019-06-03,1,0.9644396305084229
2019-06-04,1,0.9645418524742126
2019-06-05,0,0.9190034717321396
2019-06-06,0,0.7612365354662356
2019-06-10,2,0.7121587097644806
2019-06-11,0,0.7489961300577436
2019-06-12,1,0.9636828899383545
2019-06-13,2,0.7837085073644464
