headline,date,description,sentiment,sentiment_score
Atlas Insurance and SOS Malta launch VR education initiative in Maltese schools,2025-03-04 12:26:00,Atlas Insurance and SOS Malta inaugurated their three-year initiative to integrate virtual reality (VR) technology into the curricula of two independent schools and one church school. This project...,positive,0.7671111822128296
MDB hosts 20 European institutions to discuss the challenges of digital financing,2025-03-04 12:21:00,"The Malta Development Bank (MDB), in collaboration with the European Association of Guarantee Institutions (AECM), hosted a high-level technical workshop on digital financing, bringing together 20...",positive,0.7015870213508606
BOV encourages smarter money management with cash migration incentive,2025-03-04 11:29:00,"Bank of Valletta is launching a Cash Migration Incentive as part of its commitment to financial literacy and responsible banking. This initiative, running from 1st March to 30th June 2025, aims to...",positive,0.8095552325248718
Maltese Payroll Software Company Buddy kicks off Payroll Growth Summit today,2025-03-04 09:21:00,"Maltese technology leader Buddy is proud to announce the Payroll Growth Summit, a free, virtual event designed to equip payroll professionals with actionable insights in compliance, technology, and...",positive,0.7613252401351929
HSBC Malta Foundation supports K-9 Urban Search and Rescue Malta,2025-03-04 09:16:00,"HSBC Malta Foundation is proud to support K-9 Urban Search and Rescue Malta (K-9 USAR Malta), a dedicated non-profit organisation committed to training highly specialised search and rescue dogs for...",positive,0.828075110912323
New shores beckon for Boston Multi Family Office on completion of acquisition of Aqua Group,2025-03-04 09:15:00,"Isle of Man-headquartered Boston Multi Family Office is pleased to announce the completion of its acquisition of Aqua Group, a leading family office and fiduciary business based in Jersey, Malta and...",positive,0.8829784393310547
Trump economics: Inflation trends and pressures on European commerce,2025-03-02 08:00:00,"Following President Trump's election, many predict that inflation will remain a concern, particularly in service prices. The situation in the US economy is buoyant yet overall inflation in the...",positive,0.7002751231193542
Fundación MAPFRE supports P.O.P – Up' project in collaboration with MFWS,2025-02-28 14:15:00,"Fundación MAPFRE is proud to announce its support for the ""Promoting Online Protection Project"" (P.O.P - Up Project) in collaboration with The Malta Foundation for the Wellbeing of Society...",positive,0.8906441926956177
Independent research recognises Melita as a leading employer in Malta,2025-02-27 13:56:00,"Independent Employee Survey conducted by HR systems provider Talexio has highlighted high levels of job satisfaction among Melita Limited employees, positioning the company as one of the best...",positive,0.9542003273963928
Matrixyl Peptide: Exploring its multifaceted potential in scientific research,2024-10-02 10:23:00,"Matrixyl, a synthetic peptide, has garnered significant interest in various scientific domains due to its potential impact on cellular processes related to extracellular matrix (ECM) modulation,...",neutral,0.6266326904296875
MFSA warns financial institutions to improve their methods for protecting clients’ funds,2025-02-26 16:24:00,"Financial Institutions, such as payment institutions and electronic money institutions, are legally obliged to protect the funds entrusted to them by their clients, the Malta Financial Services...",neutral,0.9398425817489624
TradeMalta showcases Malta’s culinary excellence at Gulfood 2025,2025-02-26 15:58:00,"Carmen Walls, senior manager TradeMalta (centre) together with Maltese exhibitors in front of the Malta Pavilion at Gulfood 2025 at the Dubai Trade Centre...",neutral,0.8613349199295044
MBB backs EU Clean Industrial Deal but calls for stronger support for islands,2025-02-26 15:29:00,"The Malta Business Bureau (MBB) today expressed its support for the European Commission's Clean Industrial Deal (CID), recognising its potential to balance decarbonisation goals and economic...",positive,0.9309836030006409
A collaborative webinar by the CBM and the Gozo Regional Development Authority,2025-02-26 15:28:00,"The Central Bank of Malta, in collaboration with the Gozo Regional Development Authority, hosted a webinar on ""Household Wealth: A Regional Analysis for Gozo"" on 26 February 2024. This event...",neutral,0.8086451888084412
BOV Tap & Win Card promotion returns for Carnival weekend,2025-02-26 15:26:00,"Bank of Valletta is relaunching the popular Tap & Win Card Campaign, just in time for the Carnival weekend. As thousands of Maltese head over to Gozo to celebrate carnival, BOV cardholders who pay...",positive,0.7850564122200012
For Impact Event and Fair returns in March for its fourth edition,2025-02-26 10:16:00,The Academy of Givers is excited to announce the fourth edition of the For Impact Event and Fair that will take place on the 25th of March at Corinthia St George's Bay. The event provides businesses...,positive,0.5508681535720825
Bank of Valletta highlights innovation journey at European Digital Finance Conference 2025,2025-02-25 21:12:00,"Bank of Valletta participated in the European Digital Finance Conference 2025, where Ivo Camilleri, Chief Strategy, Transformation and Data Officer, shared insights on fostering innovation within the...",positive,0.8206527829170227
HSBC Life Malta maintains strong commitment to policyholders with 95% claims payout ratio for third,2025-02-25 10:40:00,"HSBC Life Malta is pleased to report that in 2024, for the third consecutive year, it once again exceeded a 95% claims payout ratio. A claim payout ratio is the percentage of claims paid to customers...",neutral,0.740421712398529
Eunoia CEO Stefan Farrugia wins EY Rising Star Entrepreneur of the Year Award,2025-02-25 10:16:00,"Eunoia, a leading data and AI solutions company is proud to announce that its CEO, Stefan Farrugia, has been awarded the prestigious EY Rising Star Entrepreneur of the Year award. This recognition...",positive,0.9054338932037354
‘Aircrafted KIDS’ spreads smiles across Africa,2025-02-25 10:15:00,"Supporting children's education and making meaningful connections within the communities it serves, Emirates has engaged with 6 entities across Africa to provide more than 1,300 handmade schoolbags...",positive,0.7579962611198425
APS Bank is recognised for elevating customer satisfaction with real-time feedback,2025-02-25 10:13:00,"APS Bank has been recently recognised by HappyOrNot for successfully increasing its customer satisfaction score by 3 points, rising from 89 to 92 on the Happy Index, through the implementation of...",positive,0.9542032480239868
McDonald's reopens at Malta International Airport following a complete makeover,2025-02-24 09:54:00,"The McDonald's team is ready to welcome guests at its Malta International Airport restaurant once again, following a complete makeover. The newly renovated restaurant is designed to accommodate more...",positive,0.8854957818984985
